BrandName,Product_ID,Product_Name,Category,MRP (Rs.),SellPrice (Rs.),Discount_Percentage %,Product_Desc
109f,DRW55,DRW55 - Westernwear-Women,Westernwear,1699.0,639.0,62,womens tie up neck solid top - carrot
109f,DRW56,DRW56 - Westernwear-Women,Westernwear,1799.0,719.0,60,womens collared stripe skater dress - cream
109f,DRW57,DRW57 - Westernwear-Women,Westernwear,1758.9,1599.0,10,checks rayon mandarin womens dress - black mix
109f,DRW58,DRW58 - Westernwear-Women,Westernwear,2499.0,499.0,80,womens tie up neck striped top - blue
109f,DRW59,DRW59 - Westernwear-Women,Westernwear,1599.0,639.0,60,womens mandarin collar striped top - black
109f,DRW60,DRW60 - Westernwear-Women,Westernwear,1648.9,1499.0,10,stripes polyester v neck womens top - black
109f,DRW61,DRW61 - Westernwear-Women,Westernwear,2299.0,919.0,60,womens round neck lace top - birch
109f,DRW62,DRW62 - Westernwear-Women,Westernwear,2858.9,2599.0,10,womens round neck embroidered short dress - natural
109f,DRW63,DRW63 - Westernwear-Women,Westernwear,1799.0,719.0,60,womens tie up neck solid top - cream
109f,DRW64,DRW64 - Westernwear-Women,Westernwear,999.0,399.0,60,womens tie up neck printed top - navy
109f,DRW65,DRW65 - Westernwear-Women,Westernwear,1799.0,719.0,60,womens printed casual shirt - black
109f,DRW66,DRW66 - Westernwear-Women,Westernwear,1399.0,559.0,60,womens round neck solid top - green
109f,DRW67,DRW67 - Westernwear-Women,Westernwear,1648.9,1499.0,10,solid polyester halter neck womens top - fuschia
109f,DRW68,DRW68 - Westernwear-Women,Westernwear,1699.0,679.0,60,womens notched neck embroidered top - cream
109f,DRW69,DRW69 - Westernwear-Women,Westernwear,1868.9,1699.0,10,checks polyester blend collar neck womens casual shirt - black
109f,DRW70,DRW70 - Westernwear-Women,Westernwear,1299.0,519.0,60,womens round neck self printed top - yellow
109f,DRW71,DRW71 - Westernwear-Women,Westernwear,1648.9,1499.0,10,printed round neck rayon womens top - red
109f,DRW72,DRW72 - Westernwear-Women,Westernwear,1499.0,599.0,60,womens round neck slub top - yellow
109f,DRW73,DRW73 - Westernwear-Women,Westernwear,1648.9,1499.0,10,womens off shoulder checked top - blue
109f,DRW74,DRW74 - Westernwear-Women,Westernwear,1599.0,639.0,60,womens mandarin collar embroidered top - black
109f,DRW75,DRW75 - Westernwear-Women,Westernwear,1428.9,1299.0,10,womens round neck printed top - navy
109f,DRW76,DRW76 - Westernwear-Women,Westernwear,1199.0,479.0,60,womens round neck embroidered top - cream
109f,DRW77,DRW77 - Westernwear-Women,Westernwear,1758.9,1599.0,10,printed polyester v neck womens top - print
109f,DRW78,DRW78 - Westernwear-Women,Westernwear,1318.9,1199.0,10,womens v neck solid top - red
109f,DRW79,DRW79 - Westernwear-Women,Westernwear,2299.0,919.0,60,womens round neck embellished top - birch
109f,DRW80,DRW80 - Westernwear-Women,Westernwear,2198.9,1999.0,10,womens solid a-line dress - natural
109f,DRW81,DRW81 - Westernwear-Women,Westernwear,1899.0,759.0,60,womens solid jeggings - navy
109f,DRW82,DRW82 - Westernwear-Women,Westernwear,2418.9,2199.0,10,womens collared check skater dress - blue
109f,DRW83,DRW83 - Westernwear-Women,Westernwear,1868.9,1699.0,10,printed polyester blend round neck womens casual shirt - black
109f,DRW84,DRW84 - Westernwear-Women,Westernwear,1648.9,1499.0,10,solid polyester round neck womens top - blue
109f,DRW85,DRW85 - Westernwear-Women,Westernwear,1758.9,1599.0,10,stripes rayon collar neck womens dress - black
109f,DRW86,DRW86 - Westernwear-Women,Westernwear,1499.0,599.0,60,womens round neck solid top - yellow
109f,DRW87,DRW87 - Westernwear-Women,Westernwear,1978.9,1799.0,10,womens collared check ruffled shirt - navy
109f,DRW88,DRW88 - Westernwear-Women,Westernwear,2799.0,1119.0,60,womens solid casual maxi dress - red
109f,DRW89,DRW89 - Westernwear-Women,Westernwear,1399.0,559.0,60,womens round neck printed ruffled top - blush
109f,DRW90,DRW90 - Westernwear-Women,Westernwear,1999.0,799.0,60,womens 5 pocket coated jeans - blue
109f,DRW91,DRW91 - Westernwear-Women,Westernwear,1999.0,799.0,60,womens tie up neck floral print a-line dress - birch
109f,DRW92,DRW92 - Westernwear-Women,Westernwear,1868.9,1699.0,10,checkered shirt collar polyester cotton womens casual shirt - blue
109f,DRW93,DRW93 - Westernwear-Women,Westernwear,1499.0,599.0,60,womens round neck floral print top - lime green
109f,DRW94,DRW94 - Westernwear-Women,Westernwear,2748.9,2499.0,10,printed polyester round neck womens sweatshirt - grey
109f,DRW95,DRW95 - Westernwear-Women,Westernwear,1868.9,1699.0,10,solid cotton high neck womens top - black
109f,DRW96,DRW96 - Westernwear-Women,Westernwear,2299.0,919.0,60,womens semi square neck solid midi dress - red
109f,DRW97,DRW97 - Westernwear-Women,Westernwear,1499.0,599.0,60,womens off shoulder neck solid top - navy
109f,DRW98,DRW98 - Westernwear-Women,Westernwear,1999.0,599.0,70,womens solid casual pants - off white
109f,DRW99,DRW99 - Westernwear-Women,Westernwear,1299.0,519.0,60,womens round neck floral print top - grey
109f,DRW100,DRW100 - Westernwear-Women,Westernwear,1318.9,1199.0,10,womens round neck solid top - black
109f,DRW101,DRW101 - Westernwear-Women,Westernwear,2198.9,1999.0,10,womens collared checked tunic - green
109f,DRW102,DRW102 - Westernwear-Women,Westernwear,1318.9,1199.0,10,womens textured casual top - blue
109f,DRW103,DRW103 - Westernwear-Women,Westernwear,1648.9,1499.0,10,solid rayon round neck womens top - yellow
109f,DRW104,DRW104 - Westernwear-Women,Westernwear,1399.0,559.0,60,womens round neck embroidered top - coral
109f,DRW105,DRW105 - Westernwear-Women,Westernwear,1428.9,1299.0,10,solid viscose round neck womens regular fit top - yellow
109f,DRW106,DRW106 - Westernwear-Women,Westernwear,1699.0,679.0,60,womens solid casual shirt - natural
109f,DRW107,DRW107 - Westernwear-Women,Westernwear,1599.0,639.0,60,womens round neck lace top - birch
109f,DRW108,DRW108 - Westernwear-Women,Westernwear,1868.9,1699.0,10,printed round neck rayon womens top - black
109f,DRW109,DRW109 - Westernwear-Women,Westernwear,1868.9,1699.0,10,checks rayon mandarin womens top - black
109f,DRW110,DRW110 - Westernwear-Women,Westernwear,1648.9,1499.0,10,solid shirt collar regular fit womens casual shirt - olive
109f,DRW111,DRW111 - Westernwear-Women,Westernwear,1299.0,519.0,60,womens round neck solid top - black
109f,DRW112,DRW112 - Westernwear-Women,Westernwear,1538.9,1399.0,10,womens one shoulder solid top - blue
109f,DRW113,DRW113 - Westernwear-Women,Westernwear,1399.0,559.0,60,womens round neck solid embroidered top - white
109f,DRW114,DRW114 - Westernwear-Women,Westernwear,2418.9,2199.0,10,stripes rayon mandarin womens dress - mustard
18.21 man made,FW1,FW1 - Fragrance-Women,Fragrance,6050.0,5500.0,10,spiced vanilla man made wash 946 ml
aarke,AARKE1,AARKE1 - Westernwear-Women,Westernwear,3190.0,2900.0,10,solid sleeveless polyester blend womens jumpsuit - black
aarke,AARKE2,AARKE2 - Indianwear-Women,Indianwear,2530.0,2300.0,10,printed chiffon v neck womens short top - dusty pink
aarke,AARKE3,AARKE3 - Indianwear-Women,Indianwear,2090.0,1900.0,10,regular fit calf length polyester blend womens fusion wear skirt - rust
aarke,AARKE4,AARKE4 - Indianwear-Women,Indianwear,2090.0,1900.0,10,regular fit calf length polyester blend womens fusion wear skirt - green
aarke,AARKE5,AARKE5 - Indianwear-Women,Indianwear,4290.0,3900.0,10,printed round neck polyester blend womens dress - blue
aarke,AARKE6,AARKE6 - Indianwear-Women,Indianwear,2090.0,1900.0,10,printed polyester blend round neck womens short top - ecru
aarke,AARKE7,AARKE7 - Indianwear-Women,Indianwear,2090.0,1900.0,10,printed polyester blend v neck womens short top - ecru
aarke,AARKE8,AARKE8 - Indianwear-Women,Indianwear,3740.0,3400.0,10,printed polyester blend mandarin womens fusion wear kurta - blue
aarke,AARKE9,AARKE9 - Indianwear-Women,Indianwear,3190.0,2900.0,10,printed square neck rayon blend womens long dress - blue
aarke,AARKE10,AARKE10 - Indianwear-Women,Indianwear,6160.0,5600.0,10,embroidered rayon blend round neck womens ethnic set - red
aarke,AARKE11,AARKE11 - Indianwear-Women,Indianwear,2970.0,2700.0,10,embroidered rayon blend v neck womens short top - blue
aarke,AARKE12,AARKE12 - Indianwear-Women,Indianwear,3850.0,3500.0,10,printed cotton blend round neck womens ethnic set - ecru
aarke,AARKE13,AARKE13 - Indianwear-Women,Indianwear,6490.0,5900.0,10,embroidered rayon blend round neck womens ethnic set - blue
aarke,AARKE14,AARKE14 - Indianwear-Women,Indianwear,5170.0,4700.0,10,printed rayon blend round neck womens ethnic set - blue
aarke,AARKE15,AARKE15 - Indianwear-Women,Indianwear,1980.0,1800.0,10,printed cotton blend collar neck womens shirt blouse - ecru
aarke,AARKE16,AARKE16 - Indianwear-Women,Indianwear,3520.0,3200.0,10,embroidered v neck rayon blend womens dress - lavender
aarke,AARKE17,AARKE17 - Indianwear-Women,Indianwear,1980.0,1800.0,10,printed cotton blend collar neck womens shirt blouse - red
aarke,AARKE18,AARKE18 - Indianwear-Women,Indianwear,2640.0,2400.0,10,printed chiffon round neck womens short top - violet
aarke,AARKE19,AARKE19 - Indianwear-Women,Indianwear,3190.0,2900.0,10,printed v neck rayon blend womens long dress - blue
aarke,AARKE20,AARKE20 - Indianwear-Women,Indianwear,2860.0,2600.0,10,printed polyester blend collar neck womens shirt blouse - blue
aarke,AARKE21,AARKE21 - Indianwear-Women,Indianwear,3190.0,2900.0,10,printed square neck rayon blend womens long dress - rust
aarke,AARKE22,AARKE22 - Indianwear-Women,Indianwear,6490.0,5900.0,10,embroidered rayon blend round neck womens ethnic set - yellow
aarke,AARKE23,AARKE23 - Indianwear-Women,Indianwear,4290.0,3900.0,10,printed round neck polyester blend womens dress - pink
aarke,AARKE24,AARKE24 - Indianwear-Women,Indianwear,3222.222222222222,2900.0,10,printed mandarin cotton blend womens dress - pink
aarke,AARKE25,AARKE25 - Indianwear-Women,Indianwear,3222.222222222222,2900.0,10,printed square neck cotton blend womens dress - red
aarke,AARKE26,AARKE26 - Indianwear-Women,Indianwear,2111.111111111111,1900.0,10,printed polyester blend v neck womens short top - yellow
aarke,AARKE27,AARKE27 - Indianwear-Women,Indianwear,6111.111111111111,5500.0,10,embroidered cotton blend round neck womens ethnic set - turquoise
aarke,AARKE28,AARKE28 - Indianwear-Women,Indianwear,2666.6666666666665,2400.0,10,printed chiffon round neck womens short top - yellow
aarke,AARKE29,AARKE29 - Indianwear-Women,Indianwear,5222.222222222222,4700.0,10,printed rayon blend round neck womens ethnic set - rust
aarke,AARKE30,AARKE30 - Indianwear-Women,Indianwear,4333.333333333333,3900.0,10,printed rayon blend round neck womens ethnic set - sky blue
aarke,AARKE31,AARKE31 - Indianwear-Women,Indianwear,3222.222222222222,2900.0,10,printed square neck cotton blend womens dress - ecru
aarke,AARKE32,AARKE32 - Indianwear-Women,Indianwear,3777.777777777778,3400.0,10,printed cowl neck polyester blend womens long dress - white
aarke,AARKE33,AARKE33 - Indianwear-Women,Indianwear,3222.222222222222,2900.0,10,printed round neck cotton blend womens dress - blue
aarke,AARKE34,AARKE34 - Indianwear-Women,Indianwear,4000.0,3600.0,10,printed round neck chiffon womens dress - pink
aarke,AARKE35,AARKE35 - Indianwear-Women,Indianwear,1888.888888888889,1700.0,10,printed square neck rayon slub womens short top - turquoise
aarke,AARKE36,AARKE36 - Indianwear-Women,Indianwear,6555.555555555556,5900.0,10,embroidered poly cotton round neck womens ethnic set - gold
aarke,AARKE37,AARKE37 - Indianwear-Women,Indianwear,1900.0,1140.0,40,printed shirt collar rayon slub womens top - red
aarke,AARKE38,AARKE38 - Indianwear-Women,Indianwear,3222.222222222222,2900.0,10,printed round neck cotton blend womens dress - rust
aarke,AARKE39,AARKE39 - Indianwear-Women,Indianwear,2111.111111111111,1900.0,10,printed cotton blend collar neck womens shirt blouse - yellow
aarke,AARKE40,AARKE40 - Indianwear-Women,Indianwear,3222.222222222222,2900.0,10,printed mandarin cotton blend womens dress - yellow
aarke,AARKE41,AARKE41 - Indianwear-Women,Indianwear,2666.6666666666665,2400.0,10,printed polyester blend collar neck womens shirt blouse - rust
aarke,AARKE42,AARKE42 - Indianwear-Women,Indianwear,4000.0,3600.0,10,printed v neck polyester blend womens dress - green
aarke,AARKE43,AARKE43 - Indianwear-Women,Indianwear,2111.111111111111,1900.0,10,printed rayon blend collar neck womens shirt blouse - blue
aarke,AARKE44,AARKE44 - Indianwear-Women,Indianwear,2666.6666666666665,2400.0,10,printed polyester blend collar neck womens shirt blouse - green
aarke,AARKE45,AARKE45 - Lingerie&Nightwear-Women,Lingerie&Nightwear,4000.0,3600.0,10,printed polyester blend v neck womens kaftan - rust
abercrombie & fitch,AF1,AF1 - Fragrance-Women,Fragrance,5700.0,3990.0,30,first instinct eau de parfum - 100ml
abercrombie & fitch,AF2,AF2 - Fragrance-Women,Fragrance,5700.0,3990.0,30,womens first instinct blue eau de parfum - 100ml
abercrombie & fitch,AF3,AF3 - Fragrance-Women,Fragrance,6333.333333333333,5700.0,10,womens first instinct eau de toilette set of 2 - 100ml+15 ml
abercrombie & fitch,AF4,AF4 - Fragrance-Women,Fragrance,4500.0,4050.0,10,womens first instinct sheer eau de parfum 100 ml
abercrombie & fitch,AF5,AF5 - Fragrance-Women,Fragrance,4900.0,4410.0,10,womens authentic eau de parfum 100 ml
accessorize,AJ1,AJ1 - Jewellery-Women,Jewellery,1105.5555555555554,995.0,10,womens turq teardrop pendant - red
adidas,ADIDAS1,ADIDAS1 - Westernwear-Women,Westernwear,1799.0,899.0,50,striped regular fit blended womens sports tights - black
adidas,ADIDAS2,ADIDAS2 - Westernwear-Women,Westernwear,1499.0,1049.0,30,stripes regular cotton womens sports wear pants - black
adidas,ADIDAS3,ADIDAS3 - Westernwear-Women,Westernwear,1199.0,599.0,50,solid cotton blend round neck womens regular fit t-shirt - black
adidas,ADIDAS4,ADIDAS4 - Westernwear-Women,Westernwear,1999.0,1399.0,30,solid slim fit cotton womens casual wear track pants - black
adidas,ADIDAS5,ADIDAS5 - Westernwear-Women,Westernwear,1599.0,799.0,50,solid cotton round neck womens t-shirt - pink
adidas,ADIDAS6,ADIDAS6 - Westernwear-Women,Westernwear,1499.0,1049.0,30,printed polyester crew neck womens t-shirt - black
adidas,ADIDAS7,ADIDAS7 - Westernwear-Women,Westernwear,2799.0,1399.0,50,regular fit polyester womens active wear tights - black
adidas,ADIDAS8,ADIDAS8 - Westernwear-Women,Westernwear,1599.0,799.0,50,solid polyester round neck womens t-shirt - black
adidas,ADIDAS9,ADIDAS9 - Westernwear-Women,Westernwear,1999.0,999.0,50,printed regular fit blended womens active wear tights - navy
adidas,ADIDAS10,ADIDAS10 - Westernwear-Women,Westernwear,1599.0,799.0,50,printed regular fit polyester womens sports t-shirt - white
adidas,ADIDAS11,ADIDAS11 - Westernwear-Women,Westernwear,1799.0,1259.0,30,printed crew neck cotton womens t-shirt - black
adidas,ADIDAS12,ADIDAS12 - Westernwear-Women,Westernwear,1799.0,1259.0,30,solid regular fit polyester womens active wear shorts - black
adidas,ADIDAS13,ADIDAS13 - Westernwear-Women,Westernwear,2699.0,1349.0,50,solid fitted fit polyester womens track pants - black
adidas,ADIDAS14,ADIDAS14 - Westernwear-Women,Westernwear,1799.0,1259.0,30,stripes cotton fitted womens casual tights - grey
adidas,ADIDAS15,ADIDAS15 - Westernwear-Women,Westernwear,1499.0,749.0,50,solid polyester polo collar womens t-shirt - black
adidas,ADIDAS16,ADIDAS16 - Westernwear-Women,Westernwear,1599.0,799.0,50,regular fit cotton womens active wear tights - black
adidas,ADIDAS17,ADIDAS17 - Westernwear-Women,Westernwear,1499.0,1049.0,30,stripes regular cotton womens sports wear pants - carbon
adidas,ADIDAS18,ADIDAS18 - Westernwear-Women,Westernwear,2499.0,1749.0,30,stripes slim fit polyester womens athleisure track pants - blue
adidas,ADIDAS19,ADIDAS19 - Westernwear-Women,Westernwear,1299.0,909.0,30,printed cotton round neck womens t-shirt - blue
adidas,ADIDAS20,ADIDAS20 - Westernwear-Women,Westernwear,1999.0,1399.0,30,stripes cotton crew neck womens t-shirt - mauve
adidas,ADIDAS21,ADIDAS21 - Westernwear-Women,Westernwear,1799.0,1259.0,30,stripes cotton fitted womens casual tights - pink
adidas,ADIDAS22,ADIDAS22 - Westernwear-Women,Westernwear,2299.0,1609.0,30,printed polyester crew neck womens t-shirt - black
adidas,ADIDAS23,ADIDAS23 - Westernwear-Women,Westernwear,1399.0,979.0,30,stripes crew neck polyester womens t-shirt - black
adidas,ADIDAS24,ADIDAS24 - Westernwear-Women,Westernwear,2499.0,1249.0,50,striped fitted fit polyester womens track pants - black
adidas,ADIDAS25,ADIDAS25 - Westernwear-Women,Westernwear,2499.0,1249.0,50,printed tight fit polyester womens track pants - navy
adidas,ADIDAS26,ADIDAS26 - Westernwear-Women,Westernwear,1499.0,1049.0,30,printed polyester crew neck womens t-shirt - white
adidas,ADIDAS27,ADIDAS27 - Westernwear-Women,Westernwear,1799.0,899.0,50,striped slim fit polyester womens shorts - grey
adidas,ADIDAS28,ADIDAS28 - Westernwear-Women,Westernwear,2499.0,1249.0,50,solid regular fit blended womens active wear tights - black
adidas,ADIDAS29,ADIDAS29 - Westernwear-Women,Westernwear,1799.0,1259.0,30,printed crew neck cotton womens t-shirt - green
adidas,ADIDAS30,ADIDAS30 - Westernwear-Women,Westernwear,1799.0,899.0,50,solid regular fit polyester womens active wear shorts - red
adidas,ADIDAS31,ADIDAS31 - Westernwear-Women,Westernwear,1599.0,1119.0,30,solid polyester round neck womens t-shirt - pink
adidas,ADIDAS32,ADIDAS32 - Westernwear-Women,Westernwear,2499.0,1749.0,30,printed cotton crew neck womens t-shirt - lemon
adidas,ADIDAS33,ADIDAS33 - Westernwear-Women,Westernwear,1799.0,1259.0,30,fitted polyester womens casual shorts - red
adidas,ADIDAS34,ADIDAS34 - Westernwear-Women,Westernwear,2299.0,1149.0,50,striped cotton round neck womens dress - purple
adidas,ADIDAS35,ADIDAS35 - Westernwear-Women,Westernwear,3299.0,2309.0,30,printed polyester fitted womens casual tights - black
adidas,ADIDAS36,ADIDAS36 - Westernwear-Women,Westernwear,2999.0,1499.0,50,striped polyester round neck womens t-shirt - black
adidas,ADIDAS37,ADIDAS37 - Westernwear-Women,Westernwear,1499.0,1049.0,30,printed cotton round neck womens t-shirt - white
adidas,ADIDAS38,ADIDAS38 - Westernwear-Women,Westernwear,2699.0,1889.0,30,regular fit polyester womens casual shorts - black
adidas,ADIDAS39,ADIDAS39 - Westernwear-Women,Westernwear,1799.0,1259.0,30,regular fit polyester womens casual shorts - black
adidas,ADIDAS40,ADIDAS40 - Westernwear-Women,Westernwear,1599.0,799.0,50,solid cotton round neck womens t-shirt - blue
adidas,ADIDAS41,ADIDAS41 - Westernwear-Women,Westernwear,1999.0,1399.0,30,printed cotton crew neck womens t-shirt - black
adidas,ADIDAS42,ADIDAS42 - Westernwear-Women,Westernwear,3999.0,1999.0,50,regular fit regular length polyester blend womens leggings - black
adidas,ADIDAS43,ADIDAS43 - Westernwear-Women,Westernwear,1999.0,999.0,50,solid fitted fit polyester womens tights - black
adidas,ADIDAS44,ADIDAS44 - Westernwear-Women,Westernwear,1799.0,1259.0,30,printed regular polyester womens sports wear pants - legend blue
adidas,ADIDAS45,ADIDAS45 - Westernwear-Women,Westernwear,2299.0,1609.0,30,printed polyester crew neck womens t-shirt - mauve
adidas,ADIDAS46,ADIDAS46 - Westernwear-Women,Westernwear,1799.0,1259.0,30,printed polyester crew neck womens top - purple
adidas,ADIDAS47,ADIDAS47 - Westernwear-Women,Westernwear,1799.0,1259.0,30,fitted polyester womens casual shorts - navy
adidas,ADIDAS48,ADIDAS48 - Westernwear-Women,Westernwear,2699.0,1889.0,30,solid polyester crew neck womens t-shirt - burgundy
adidas,ADIDAS49,ADIDAS49 - Westernwear-Women,Westernwear,1999.0,1399.0,30,printed cotton crew neck womens t-shirt - rust
adidas,ADIDAS50,ADIDAS50 - Westernwear-Women,Westernwear,1199.0,839.0,30,printed cotton round neck womens t-shirt - black
adidas,ADIDAS51,ADIDAS51 - Westernwear-Women,Westernwear,1799.0,899.0,50,solid polyester round neck womens t-shirt - white
adidas,ADIDAS52,ADIDAS52 - Westernwear-Women,Westernwear,1999.0,999.0,50,striped slim fit polyester womens tights - pink
adidas,ADIDAS53,ADIDAS53 - Westernwear-Women,Westernwear,1399.0,979.0,30,stripes crew neck polyester womens t-shirt - grey
adidas,ADIDAS54,ADIDAS54 - Westernwear-Women,Westernwear,3799.0,2659.0,30,stripes polyester fitted womens casual tights - black
adidas,ADIDAS55,ADIDAS55 - Westernwear-Women,Westernwear,1599.0,1119.0,30,solid polyester round neck womens t-shirt - red
adidas,ADIDAS56,ADIDAS56 - Westernwear-Women,Westernwear,3299.0,1649.0,50,solid tight fit polyester womens tights - black
adidas,ADIDAS57,ADIDAS57 - Westernwear-Women,Westernwear,2999.0,1499.0,50,solid blended round neck womens t-shirt - grey
adidas,ADIDAS58,ADIDAS58 - Westernwear-Women,Westernwear,2499.0,1249.0,50,printed regular fit polyester womens active wear tights - pink
adidas,ADIDAS59,ADIDAS59 - Westernwear-Women,Westernwear,2299.0,1609.0,30,solid crew neck polyester womens t-shirt - purple
adidas,ADIDAS60,ADIDAS60 - Westernwear-Women,Westernwear,3299.0,2309.0,30,striped regular fit polyester womens track pants - black
adidas,ADIDAS61,ADIDAS61 - Westernwear-Women,Westernwear,2499.0,1249.0,50,solid regular fit polyester womens skirt - black
